file_name,difficulty_score,Abweichung
001,0.1394166666666666,0.060583333333333406
002,0.1394166666666666,0.060583333333333406
003,0.1394166666666666,0.060583333333333406
004,0.1394166666666666,0.060583333333333406
005,0.1394166666666666,0.060583333333333406
006,0.14137211015938228,0.05862788984061773
007,0.15504270996586522,0.04495729003413479
008,0.1597285310349898,0.040271468965010215
009,0.17104619398981172,0.028953806010188293
010,0.17453115126801313,0.025468848731986876
011,0.1840577050919179,0.015942294908082105
012,0.19091961051913922,0.00908038948086079
013,0.20136430985299614,0.0013643098529961262
014,0.1449478893902958,0.05505211060970422
015,0.15180261775072268,0.04819738224927733
016,0.2139787314554271,0.01397873145542708
017,0.23249318161268592,0.03249318161268591
018,0.15384734585535476,0.046152654144645255
019,0.1641083215608576,0.0358916784391424
020,0.15705219111498012,0.042947808885019895
021,0.15231630346277464,0.04768369653722537
022,0.19462993214641564,0.005370067853584376
023,0.17198654675429004,0.028013453245709974
024,0.19018960324981551,0.009810396750184497
025,0.14732646109853237,0.05267353890146764
026,0.14235338175855633,0.05764661824144368
027,0.1388373958333333,0.06116260416666672
028,0.14197886301499882,0.05802113698500119
029,0.15284039765277405,0.047159602347225965
030,0.14121534439468397,0.05878465560531604
031,0.14064558528361737,0.05935441471638264
032,0.1416770023121302,0.058322997687869804
033,0.14155198600975236,0.058448013990247655
