file_name,difficulty_score,Abweichung
001,0.1493125626106049,0.020687437389395102
002,0.15911853103918855,0.010881468960811463
003,0.15880100839806965,0.011198991601930358
004,0.14505163801277768,0.024948361987222334
005,0.15994179928802255,0.010058200711977466
006,0.1603655815110856,0.009634418488914415
007,0.15748385607421536,0.01251614392578465
008,0.1622330895756832,0.00776691042431682
009,0.21880211802295715,0.04880211802295714
010,0.20747343831856427,0.037473438318564256
011,0.16359089810018315,0.00640910189981686
012,0.13956950276946758,0.030430497230532427
013,0.1394166666666666,0.030583333333333407
014,0.16500068721105485,0.004999312788945165
015,0.16038514405600332,0.009614855943996692
016,0.15378696080462492,0.01621303919537509
017,0.1650157010253275,0.0049842989746725075
018,0.14340823278216,0.026591767217840012
019,0.17040617455830817,0.00040617455830815885
020,0.156261225906338,0.013738774093662004
021,0.1430202141374719,0.02697978586252811
022,0.16303544460414274,0.006964555395857275
023,0.153995528988735,0.01600447101126501
024,0.15284904312287576,0.017150956877124257
025,0.14259796092223895,0.027402039077761065
026,0.16212125050818174,0.007878749491818271
027,0.14251026605852868,0.027489733941471334
028,0.15041666666666673,0.019583333333333286
029,0.14005145680534786,0.02994854319465215
030,0.1394166666666666,0.030583333333333407
031,0.141715119192591,0.028284880807409013
032,0.14188492807413913,0.02811507192586088
