file_name,difficulty_score,Abweichung
001,0.15022248604670604,0.02977751395329395
002,0.15773686787072388,0.02226313212927611
003,0.16395965686134253,0.01604034313865746
004,0.15259191079243517,0.027408089207564823
005,0.15011230182597085,0.029887698174029143
006,0.1706337056589913,0.00936629434100869
007,0.14790953954729014,0.03209046045270986
008,0.15570404207312669,0.024295957926873307
009,0.15396925490095303,0.02603074509904696
010,0.17293215491652436,0.007067845083475632
011,0.16384585113236783,0.016154148867632168
012,0.17130657457283557,0.00869342542716442
013,0.1394166666666666,0.04058333333333339
014,0.1575936202159735,0.022406379784026487
015,0.14282077116595077,0.03717922883404923
016,0.16337404826170424,0.016625951738295758
017,0.18155890906642522,0.0015589090664252236
018,0.16556274188670103,0.014437258113298962
019,0.15309909976550848,0.026900900234491515
020,0.14174240632869592,0.038257593671304074
021,0.14221016282930837,0.03778983717069162
022,0.1397758741608698,0.04022412583913018
023,0.1426816339680939,0.03731836603190608
024,0.1394166666666666,0.04058333333333339
025,0.19046646568940653,0.01046646568940654
026,0.14894206582551947,0.031057934174480523
027,0.1512731277361847,0.02872687226381529
028,0.14188825033330932,0.038111749666690675
029,0.14222444009968874,0.037775559900311256
030,0.15454237621530864,0.025457623784691352
031,0.18581037001764542,0.005810370017645422
032,0.17305120404385307,0.006948795956146919
