file_name,difficulty_score,Abweichung
001,0.16847478655760476,0.051525213442395246
002,0.18737924436574616,0.032620755634253845
003,0.17352114601704494,0.046478853982955065
004,0.1714166666666667,0.04858333333333331
005,0.16541666666666666,0.054583333333333345
006,0.19016428272180266,0.029835717278197338
007,0.16747411266560985,0.05252588733439015
008,0.1786296747335976,0.041370325266402413
009,0.15251146427900428,0.06748853572099572
010,0.17173756527425255,0.048262434725747455
011,0.1699023694382795,0.05009763056172051
012,0.16004527260302479,0.059954727396975216
013,0.1608486285323955,0.05915137146760449
014,0.22050283762200681,0.0005028376220068131
015,0.24288054805320944,0.022880548053209437
016,0.2353881626740176,0.015388162674017603
017,0.1867420961652757,0.033257903834724295
018,0.24770593966730423,0.027705939667304225
019,0.265565005218179,0.045565005218178994
020,0.16441642833333336,0.05558357166666664
021,0.15441666666666665,0.06558333333333335
022,0.19841666666666677,0.021583333333333232
023,0.1764166666666667,0.04358333333333331
024,0.1589433672226411,0.0610566327773589
025,0.16157339039624383,0.058426609603756174
026,0.15764378562858347,0.06235621437141653
027,0.16828922289011847,0.051710777109881534
028,0.1692725422997512,0.05072745770024881
029,0.1625656878355983,0.0574343121644017
030,0.16222536817964459,0.057774631820355415
031,0.16257010326306454,0.057429896736935465
032,0.17058880940252466,0.04941119059747534
033,0.15642819042934766,0.06357180957065234
034,0.18794765282149348,0.032052347178506524
035,0.15231578842118626,0.06768421157881374
036,0.14283932302028732,0.07716067697971268
037,0.1413582438677843,0.07864175613221569
038,0.14941666666666664,0.07058333333333336
039,0.16684847843653694,0.05315152156346306
040,0.15067561716704428,0.06932438283295572
041,0.16813545850409287,0.051864541495907135
042,0.17141666666666663,0.04858333333333337
