file_name,difficulty_score,Abweichung
001,0.1727137368890114,0.05728626311098861
002,0.17404389955900437,0.05595610044099564
003,0.2338679677998179,0.0038679677998178785
004,0.25593910991513297,0.025939109915132957
005,0.15541666666666662,0.07458333333333339
006,0.1407203547610034,0.08927964523899662
007,0.13973530688791402,0.09026469311208599
008,0.14426499066671777,0.08573500933328224
009,0.1664873608927378,0.06351263910726221
010,0.21700595836756362,0.012994041632436393
011,0.17751747457596534,0.05248252542403467
012,0.15462964634180842,0.07537035365819159
013,0.14497379678259054,0.08502620321740947
014,0.14408540052942878,0.08591459947057123
015,0.14099551967756677,0.08900448032243324
016,0.14105423925892382,0.08894576074107619
017,0.13991728724357214,0.09008271275642787
018,0.13957744536295677,0.09042255463704324
019,0.14117196522277142,0.08882803477722859
020,0.15736800066884846,0.07263199933115155
021,0.15078976633333574,0.07921023366666427
022,0.14124874355123987,0.08875125644876014
023,0.1421086821264556,0.0878913178735444
024,0.14048045799709574,0.08951954200290427
025,0.141459720235217,0.08854027976478301
026,0.14222922338130148,0.08777077661869853
027,0.1394166666666666,0.0905833333333334
028,0.1394166666666666,0.0905833333333334
029,0.14053970763047707,0.08946029236952294
030,0.153128242896712,0.076871757103288
031,0.16042183320650408,0.06957816679349593
