file_name,difficulty_score,Abweichung
001,0.1445326154295806,0.12546738457041942
002,0.16237040772640868,0.10762959227359134
003,0.15155362241895803,0.11844637758104198
004,0.14790376108657902,0.122096238913421
005,0.14935635200243233,0.12064364799756769
006,0.14212306183397597,0.12787693816602405
007,0.16934612706543384,0.10065387293456618
008,0.1581441589917511,0.11185584100824891
009,0.14488982557910293,0.12511017442089709
010,0.1465406286668567,0.12345937133314333
011,0.14227995604144691,0.1277200439585531
012,0.16729231508845496,0.10270768491154506
013,0.1486104703085512,0.12138952969144881
014,0.15317103302042323,0.11682896697957679
015,0.2565839085722202,0.01341609142777983
016,0.22222302844225203,0.04777697155774799
017,0.1556303495109187,0.11436965048908132
018,0.16169792416528947,0.10830207583471055
019,0.1603791635435117,0.10962083645648832
020,0.1774544915117566,0.09254550848824342
021,0.1524581762940041,0.11754182370599592
022,0.15226836149552916,0.11773163850447085
023,0.1403601191568087,0.1296398808431913
024,0.14113371702433478,0.12886628297566524
025,0.14153073574170189,0.12846926425829813
026,0.15140520891286988,0.11859479108713014
027,0.17319078576320157,0.09680921423679845
028,0.16207921440801212,0.1079207855919879
029,0.15787014752243536,0.11212985247756466
030,0.1549828696215382,0.11501713037846181
031,0.16172515806939852,0.1082748419306015
032,0.1552696604075409,0.11473033959245912
