file_name,difficulty_score
001,0.20529657698559065
002,0.21518152825236916
003,0.19167146806667437
004,0.20015419119455793
005,0.15373814864023447
006,0.15118199765181936
007,0.1448444325478412
008,0.15141666666666673
009,0.14109698776891968
010,0.1394166666666666
011,0.14004857652154762
012,0.15559722635027884
013,0.15855279061159142
014,0.17494209524581836
015,0.178974709657448
016,0.15276327164329095
017,0.14941666666666664
018,0.1707699746016361
019,0.16301892248565233
020,0.14296297655647575
021,0.19103058862156386
022,0.1910991836798992
023,0.20011969148219055
024,0.22076562613610592
025,0.19996636274055057
026,0.171663290694815
027,0.15926744213694366
