file_name,difficulty_score,Abweichung
001,0.1879037546677076,0.057903754667707585
002,0.21997970097659192,0.08997970097659191
003,0.16292959217470068,0.03292959217470068
004,0.17093670662301283,0.040936706623012825
005,0.1609949558692566,0.030994955869256602
006,0.1645664053314359,0.0345664053314359
007,0.16241666666666665,0.03241666666666665
008,0.17272905860476495,0.04272905860476495
009,0.16945610871534345,0.03945610871534344
010,0.1394166666666666,0.009416666666666601
011,0.1764166666666667,0.04641666666666669
012,0.17679382935460905,0.046793829354609046
013,0.17532651839447796,0.04532651839447796
014,0.19209376276615583,0.06209376276615583
015,0.17965689823333894,0.049656898233338936
016,0.15560373204588232,0.025603732045882316
017,0.14032692519155587,0.010326925191555869
018,0.17174065871247676,0.04174065871247676
019,0.16464036096258297,0.03464036096258297
020,0.17994496812397923,0.04994496812397922
021,0.16858628230279019,0.03858628230279018
022,0.17149506776352727,0.041495067763527266
023,0.16941666666666666,0.039416666666666655
024,0.22596652058329045,0.09596652058329044
025,0.1983295301711587,0.0683295301711587
026,0.21422626383935348,0.08422626383935347
027,0.21092003168247297,0.08092003168247297
028,0.194327953359569,0.064327953359569
029,0.2441407913519228,0.11414079135192279
030,0.16851329904306847,0.038513299043068466
031,0.16302399610387605,0.03302399610387605
032,0.15614480761073252,0.026144807610732512
033,0.1957797025388628,0.06577970253886278
034,0.177057609352973,0.047057609352972984
035,0.17928393274875165,0.04928393274875165
036,0.17429884610990087,0.04429884610990087
037,0.1906974379177384,0.060697437917738406
038,0.17425606041035827,0.04425606041035826
039,0.14066148442462717,0.010661484424627166
040,0.17610290062071352,0.04610290062071351
041,0.15673291983827717,0.026732919838277164
