file_name,difficulty_score,Abweichung
001,0.16173821057436072,0.03826178942563929
002,0.16552097334143948,0.034479026658560535
003,0.14049496834101927,0.059505031658980745
004,0.1394166666666666,0.060583333333333406
005,0.14594970508042662,0.05405029491957339
006,0.14690536825722944,0.05309463174277057
007,0.14920215132074205,0.05079784867925796
008,0.14418243494120778,0.055817565058792235
009,0.1467082479019657,0.0532917520980343
010,0.1957413969326447,0.0042586030673553155
011,0.14418538580751755,0.05581461419248246
012,0.15769761687518216,0.04230238312481785
013,0.16252277900416665,0.037477220995833366
014,0.1394166666666666,0.060583333333333406
015,0.1430821719981711,0.0569178280018289
016,0.14094441148575942,0.05905558851424059
017,0.15204928323470035,0.04795071676529966
018,0.15402662089710897,0.04597337910289104
019,0.14941666666666664,0.05058333333333337
020,0.14687924673967515,0.053120753260324866
021,0.14967031727504165,0.05032968272495836
022,0.14149436539829488,0.05850563460170513
023,0.14233636768304528,0.05766363231695473
024,0.15266072898877825,0.04733927101122176
025,0.16105377973713994,0.03894622026286007
026,0.15185450992565241,0.0481454900743476
027,0.1394232611883024,0.06057673881169762
028,0.14188981972982287,0.05811018027017714
029,0.14055885209667385,0.059441147903326164
030,0.1514234807137367,0.0485765192862633
